,artist,version,line_number,line
442,Tom Macdonald,transformed,55,But I’m not here to center me or demonize a race
443,Tom Macdonald,transformed,56,I’m here to lift the voices that the world can’t replace
444,Tom Macdonald,transformed,57,I acknowledge all the pain that’s been wrongly committed
445,Tom Macdonald,transformed,58,And I’ll keep on standin’ up till the wrongs are acquitted
446,Tom Macdonald,transformed,59,I would never hate a man for the color of skin
447,Tom Macdonald,transformed,60,I would never try to judge for the place he’s been in
448,Tom Macdonald,transformed,61,I would never call a soul less for what’s in his genes
449,Tom Macdonald,transformed,62,"We’re all part of the story, every page in between"
450,Tom Macdonald,transformed,63,"The ones who harm and profit, they are those in control"
451,Tom Macdonald,transformed,64,"The Rockefellers, royals, those who purchase and own"
452,Tom Macdonald,transformed,65,But I got no patience for the hate they spread
453,Tom Macdonald,transformed,66,"It’s just hatred feeding hatred, and it grows instead"
454,Tom Macdonald,transformed,67,I don’t want nothin’ to do with either side of that fence
455,Tom Macdonald,transformed,68,"I’d rather stand in the middle, make a change with intent"
456,Tom Macdonald,transformed,69,Don’t believe the portrayal that the movies still choose
457,Tom Macdonald,transformed,70,Let’s break the chains of the image and rewrite the news
458,Tom Macdonald,transformed,71,"Bein’ proud and bein’ hateful ain’t the same, let’s be honest"
459,Tom Macdonald,transformed,72,It’s hard to see the difference but I promise upon this
460,Tom Macdonald,transformed,73,We deserve the chance to prove we’re not part of the problem
461,Tom Macdonald,transformed,74,"And if we walk together, then the pain—we can solve it"
462,Tom Macdonald,transformed,75,"Stand up, don’t say that"
463,Tom Macdonald,transformed,76,"Stand up, learn the facts"
464,Tom Macdonald,transformed,77,"Stand up, use your voice back"
465,Tom Macdonald,transformed,78,"Stand up, dear ally"
466,Tom Macdonald,transformed,79,"Stand up, make noise"
467,Tom Macdonald,transformed,80,Sayin’ things that can lift with a true voice
468,Tom Macdonald,transformed,81,"Stand tall, stand wise"
469,Tom Macdonald,transformed,82,Try to see the world through another’s eyes
470,Tom Macdonald,transformed,83,"Stand up, don’t say that"
471,Tom Macdonald,transformed,84,"Stand up, learn the facts"
472,Tom Macdonald,transformed,85,"Stand up, use your voice back"
473,Tom Macdonald,transformed,86,"Stand up, dear ally"
